generation,best_fitness,best_score,best_steps,average_fitness
1,40652,40,652,24765.67
2,52950,52,950,25593.33
3,51807,51,807,27185.2
4,62018,61,1018,28441.05
5,64152,63,1152,29477.25
6,62375,61,1375,27993.12
7,52014,51,1014,27639.85
8,63191,62,1191,29550.97
9,55947,55,947,29383.15
10,43597,43,597,25698.12
11,58916,58,916,31188.33
12,59226,58,1226,28409.03
13,54837,54,837,26368.12
14,55879,55,879,30676.6
15,51919,51,919,28017.78
16,58029,57,1029,29200.47
17,47877,47,877,25809.65
18,60068,59,1068,29587.95
19,48762,48,762,29906.08
20,68338,67,1338,29656.7
21,55949,55,949,27093.53
22,53818,53,818,30239.38
23,55905,55,905,26292.47
24,50874,50,874,29263.88
25,56862,56,862,28868.58
26,47691,47,691,28573.97
27,57986,57,986,31379.22
28,62072,61,1072,31614.35
29,49849,49,849,30573.85
30,54897,54,897,29126.67
31,86841,85,1841,31279.33
32,50821,50,821,31599.28
33,72138,71,1138,32677.38
34,56916,56,916,34369.65
35,59192,58,1192,28423.15
36,52915,52,915,31517.72
37,57082,56,1082,30200.28
38,66315,65,1315,33577.82
39,63076,62,1076,32480.83
40,70316,69,1316,31963.8
41,67279,66,1279,34379.68
42,62098,61,1098,29142.12
43,50756,50,756,30133.05
44,55046,54,1046,29954.05
45,69394,68,1394,31351.85
46,54913,54,913,34738.25
47,63066,62,1066,31787.6
48,50825,50,825,28967.65
49,71496,70,1496,29777.5
50,58899,58,899,32389.83
51,61964,61,964,31591.72
52,60161,59,1161,33644.68
53,58945,58,945,31903.58
54,51817,51,817,30362.67
55,55969,55,969,30335.17
56,63172,62,1172,31291.85
57,55884,55,884,29660.5
58,56811,56,811,28117.22
59,56027,55,1027,31751.47
60,70100,69,1100,36265.35
61,58930,58,930,29753.6
62,52125,51,1125,30485.72
63,59038,58,1038,32066.7
64,63083,62,1083,30192.28
65,64088,63,1088,33042.47
66,76231,75,1231,34767.9
67,55892,55,892,28255.7
68,80574,79,1574,34641.62
69,72587,71,1587,36342.25
70,56994,56,994,31924.78
71,68437,67,1437,33052.5
72,84830,83,1830,38372.57
73,66070,65,1070,33858.03
74,73406,72,1406,37394.65
75,66229,65,1229,37443.95
76,79366,78,1366,33987.85
77,58048,57,1048,34176.4
78,90829,89,1829,37702.97
79,65172,64,1172,35891.5
80,71535,70,1535,35377.22
81,84647,83,1647,35423.03
82,63278,62,1278,36574.62
83,72595,71,1595,36002.4
84,76410,75,1410,37181.75
85,71608,70,1608,36097.5
86,59942,59,942,34891.22
87,74238,73,1238,36655.57
88,73427,72,1427,35093.88
89,57890,57,890,34546.88
90,92084,90,2084,39838.65
91,61141,60,1141,34703.57
92,70377,69,1377,39925.65
93,72315,71,1315,38005.0
94,61065,60,1065,35696.45
95,70442,69,1442,38065.0
96,82527,81,1527,35337.03
97,72372,71,1372,34860.15
98,67201,66,1201,37707.97
99,70367,69,1367,35862.93
100,69090,68,1090,35122.2
101,60051,59,1051,35331.47
102,74652,73,1652,35164.5
103,74245,73,1245,36058.88
104,66352,65,1352,36651.35
105,72444,71,1444,39679.8
106,62209,61,1209,37063.78
107,72260,71,1260,39513.72
108,57846,57,846,35626.6
109,80507,79,1507,35114.5
110,65200,64,1200,32955.85
111,71445,70,1445,35042.43
112,79642,78,1642,33251.43
113,64214,63,1214,33102.32
114,61256,60,1256,33718.4
115,75373,74,1373,36002.32
116,69330,68,1330,38708.85
117,58013,57,1013,34671.1
118,76549,75,1549,39791.72
119,77404,76,1404,38597.32
120,76437,75,1437,35046.78
121,68302,67,1302,34981.75
122,65037,64,1037,36863.85
123,66202,65,1202,35421.12
124,63083,62,1083,34367.45
125,63332,62,1332,35636.82
126,89598,88,1598,35948.55
127,66057,65,1057,36581.9
128,69222,68,1222,32466.72
129,66320,65,1320,32916.22
130,70392,69,1392,34793.22
131,63192,62,1192,33814.28
132,66271,65,1271,31457.9
133,93590,92,1590,39464.43
134,75301,74,1301,33834.82
135,69249,68,1249,36884.05
136,74540,73,1540,38980.9
137,65132,64,1132,35633.32
138,63281,62,1281,32940.62
139,74170,73,1170,36380.05
140,67410,66,1410,32590.53
141,76446,75,1446,34909.62
142,78585,77,1585,37202.12
143,73249,72,1249,39999.1
144,75354,74,1354,39105.15
145,71407,70,1407,33354.47
146,65238,64,1238,35463.6
147,80696,79,1696,35626.47
148,83407,82,1407,40418.47
149,79261,78,1261,38962.32
150,62969,62,969,35252.3
151,75609,74,1609,34655.82
152,69513,68,1513,36550.7
153,64075,63,1075,35699.88
154,78570,77,1570,36796.47
155,67521,66,1521,33807.62
156,70374,69,1374,35282.47
157,75251,74,1251,34805.93
158,68157,67,1157,35936.53
159,68237,67,1237,37275.75
160,66253,65,1253,37526.32
161,82757,81,1757,39200.47
162,64105,63,1105,35143.57
163,70540,69,1540,39283.22
164,64174,63,1174,37330.97
165,74749,73,1749,39750.15
166,59017,58,1017,37006.97
167,79522,78,1522,35311.12
168,73452,72,1452,34624.07
169,63206,62,1206,33160.45
170,72451,71,1451,37523.2
171,62345,61,1345,35312.5
172,62117,61,1117,37041.57
173,74337,73,1337,38454.6
174,60062,59,1062,33364.57
175,71239,70,1239,37816.78
176,72562,71,1562,35641.97
177,88878,87,1878,36581.62
178,63250,62,1250,36042.05
179,58863,58,863,33862.6
180,64980,64,980,31191.25
181,54927,54,927,30947.95
182,57847,57,847,32399.58
183,65238,64,1238,35616.0
184,68115,67,1115,39106.03
185,62028,61,1028,37261.82
186,75365,74,1365,37878.28
187,70492,69,1492,35221.93
188,64212,63,1212,37656.15
189,68308,67,1308,33315.6
190,66202,65,1202,36023.95
191,86771,85,1771,34786.28
192,62064,61,1064,34008.72
193,69280,68,1280,37880.38
194,64099,63,1099,33414.38
195,72357,71,1357,34695.4
196,60077,59,1077,36024.38
197,71395,70,1395,36134.95
198,79702,78,1702,39023.55
199,70374,69,1374,35830.05
200,76466,75,1466,35149.6
201,81443,80,1443,37172.75
202,64272,63,1272,33726.68
203,66208,65,1208,31720.28
204,66352,65,1352,34054.28
205,70460,69,1460,40497.85
206,74393,73,1393,35519.4
207,62035,61,1035,32760.95
208,78828,77,1828,39208.28
209,60120,59,1120,34686.93
210,67249,66,1249,33523.2
211,70294,69,1294,38711.65
212,71228,70,1228,37452.65
213,62223,61,1223,32846.12
214,98122,96,2122,34437.45
215,75249,74,1249,33999.95
216,64208,63,1208,32708.22
217,60061,59,1061,35068.3
218,73439,72,1439,36410.95
219,76505,75,1505,36213.7
220,61101,60,1101,37191.9
221,78592,77,1592,33831.6
222,70222,69,1222,33249.75
223,76743,75,1743,35782.72
224,68305,67,1305,36854.93
225,69395,68,1395,31919.47
226,71396,70,1396,36431.0
227,66154,65,1154,37644.25
228,65111,64,1111,39933.85
229,79586,78,1586,37841.55
230,72280,71,1280,35990.78
231,84828,83,1828,36498.82
232,91960,90,1960,35085.72
233,79585,78,1585,35214.05
234,71398,70,1398,32561.72
235,70447,69,1447,34220.5
236,83412,82,1412,39681.43
237,69493,68,1493,38309.2
238,65441,64,1441,35221.07
239,75482,74,1482,36212.5
240,59104,58,1104,38493.65
241,69148,68,1148,39915.1
242,79418,78,1418,39812.15
243,63119,62,1119,36115.75
244,69252,68,1252,30361.92
245,61117,60,1117,34822.65
246,82921,81,1921,36216.35
247,69316,68,1316,34347.75
248,67004,66,1004,36389.88
249,60159,59,1159,33492.78
250,67206,66,1206,34984.65
251,59043,58,1043,36836.65
252,91911,90,1911,34830.57
253,68305,67,1305,38708.7
254,61989,61,989,38411.12
255,74221,73,1221,30671.83
256,71305,70,1305,34010.68
257,71341,70,1341,35561.68
258,78520,77,1520,35182.9
259,79808,78,1808,35606.45
260,70493,69,1493,37069.22
261,65277,64,1277,32873.88
262,69432,68,1432,34818.32
263,71372,70,1372,35334.18
264,66109,65,1109,37596.15
265,90954,89,1954,33824.8
266,71108,70,1108,36746.0
267,64403,63,1403,31401.22
268,69167,68,1167,32568.7
269,74442,73,1442,37579.88
270,72527,71,1527,37857.38
271,65122,64,1122,38411.88
272,66109,65,1109,33758.1
273,66104,65,1104,32748.38
274,66126,65,1126,36423.1
275,72462,71,1462,32214.58
276,64262,63,1262,30089.97
277,74431,73,1431,32882.28
278,64151,63,1151,35438.85
279,63089,62,1089,34223.88
280,79585,78,1585,38081.8
281,56115,55,1115,29578.1
282,71539,70,1539,34018.35
283,61971,61,971,34601.55
284,65157,64,1157,33259.6
285,88563,87,1563,37352.0
286,68292,67,1292,39327.1
287,66044,65,1044,37265.1
288,76494,75,1494,38258.68
289,79502,78,1502,36603.75
290,68343,67,1343,38142.75
291,65338,64,1338,36733.82
292,57808,57,808,32539.3
293,65056,64,1056,35068.07
294,67360,66,1360,35182.1
295,75274,74,1274,35413.72
